"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_NAME","MUNICIPALITY"
"2017133936","1","1","1","9","99","99","01","1","99","U","0","1","N","  ","9","  "," "," ","2017","67","Philadelphia","67301"
"2017133936","2","1","7","4","00","00","00","0","70","F","0","0","Y","  ","0","01","2","1","2017","67","Philadelphia","67301"
"2017133936","3","1","7","4","00","00","00","0","6","F","0","0","Y","  ","0","01","2","1","2017","67","Philadelphia","67301"
"2018005561","1","1","1","0","03","01","01","0","25","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005561","2","99","1","0","03","04","01","0","25","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005569","1","1","1","0","00","00","01","0","99","U","0","0"," ","  ","9","  "," "," ","2017","67","Philadelphia","67301"
"2018005569","2","2","7","8","00","00","00","0","31","F","0","0","N","  ","9","05","3","1","2017","67","Philadelphia","67301"
"2017117257","1","1","1","0","99","01","01","0","27","M","0","0","N","PA","1","  "," "," ","2017","67","Philadelphia","67301"
"2017117257","2","1","1","0","03","00","01","0","30","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017117257","2","2","2","0","03","00","03","0","25","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017131198","1","1","1","8","03","04","01","1","28","M","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017131198","1","2","2","0","03","01","03","1","99","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017131198","1","3","2","0","03","00","06","1","99","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017131198","2","1","1","0","03","00","01","1","44","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017131198","2","2","2","0","99","00","06","1","23","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017131198","2","3","2","8","00","00","04","1","99","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127298","1","1","1","4","99","99","01","0","47","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127298","2","1","1","0","99","99","01","0","33","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127298","3","1","1","0","99","99","99","0","60","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127298","3","2","2","4","99","99","06","0","30","M","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
